2023-11-22 19:10:29.545 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:10:29.546 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:10:29.546 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=3587407018.
2023-11-22 19:10:29.546 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:10:30.648 | INFO     | game.world.World:generate:34 - World generation took 1.101804256439209s
2023-11-22 19:10:30.648 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:10:30.649 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:10:30.649 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:10:30.650 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:10:30.650 | INFO     | App:run:54 - Running app...
2023-11-22 19:11:00.955 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:12:04.444 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:12:05.028 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:12:05.178 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:12:05.226 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:12:05.230 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:12:05.231 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:12:05.232 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:12:05.233 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:12:05.233 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=1540896979.
2023-11-22 19:12:05.233 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:12:06.590 | INFO     | game.world.World:generate:34 - World generation took 1.355243444442749s
2023-11-22 19:12:06.591 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:12:06.591 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:12:06.591 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:12:06.592 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:12:06.592 | INFO     | App:run:54 - Running app...
2023-11-22 19:12:27.212 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:12:36.821 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:12:36.945 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:12:37.104 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:12:37.153 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:12:37.153 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:12:37.155 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:12:37.156 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0010030269622802734s
2023-11-22 19:12:37.156 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:12:37.156 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=1590853801.
2023-11-22 19:12:37.157 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
